index,Source Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Flow IAT Mean,Flow IAT Std,Flow IAT Min,Fwd IAT Std,Fwd Packets/s,Bwd Packets/s,Min Packet Length,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Std,Label
696,49296,79,1,1,0,0.0,0,0,0.0,0,0,0.0,79.0,0.0,79.0,0.0,12658.22785,12658.22785,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
141,60125,48568,1,1,101,165.0,101,101,101.0,165,165,165.0,48568.0,0.0,48568.0,0.0,20.58968868,20.58968868,101,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
280,55048,8475707,9,15,114,188.0,29,0,12.66666667,34,0,12.53333333,368509.0,953958.9429,3.0,1284745.294,1.06185832,1.769763867,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
331,53122,8930775,9,15,113,188.0,29,0,12.55555556,34,0,12.53333333,388294.5652,1010162.102,1.0,1365723.199,1.007751287,1.679585478,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
678,52429,186844,2,2,68,158.0,34,34,34.0,79,79,79.0,62281.33333,107870.1036,2.0,0.0,10.7041168,10.7041168,34,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
803,62101,23516,1,1,49,130.0,49,49,49.0,130,130,130.0,23516.0,0.0,23516.0,0.0,42.52423882,42.52423882,49,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
44,37830,61565537,10,10,1273,275.0,1273,0,127.3,275,0,27.5,3240291.421,4736943.624,50.0,4870565.051,0.162428535,0.162428535,0,0,0,0,1,0,0,0,1,29200,125,1,32,210486.6667,389500.3981,1005544.0,50474.0,12715.24255,1
716,57228,8687356,9,15,110,188.0,24,0,12.22222222,34,0,12.53333333,377711.1304,969186.7389,3.0,1298125.349,1.035988395,1.726647325,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
17,443,412,2,0,0,0.0,0,0,0.0,0,0,0.0,412.0,0.0,412.0,0.0,4854.368932,0.0,0,0,0,0,0,1,0,0,0,33580,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
320,46690,63,1,1,0,0.0,0,0,0.0,0,0,0.0,63.0,0.0,63.0,0.0,15873.01587,15873.01587,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
990,52088,41,1,1,0,0.0,0,0,0.0,0,0,0.0,41.0,0.0,41.0,0.0,24390.2439,24390.2439,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
904,58238,8536492,9,15,119,188.0,28,0,13.22222222,34,0,12.53333333,371151.8261,973978.9032,3.0,1212808.294,1.054297245,1.757162075,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
869,53140,9150802,9,15,104,188.0,23,0,11.55555556,34,0,12.53333333,397860.9565,1021386.224,1.0,1345670.012,0.983520352,1.639200586,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
570,37078,425,2,2,96,268.0,48,48,48.0,134,134,134.0,141.6666667,204.2947217,1.0,0.0,4705.882353,4705.882353,48,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
361,51050,167,2,2,70,134.0,35,35,35.0,67,67,67.0,55.66666667,89.48929172,4.0,0.0,11976.0479,11976.0479,35,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
984,443,1704,2,0,0,0.0,0,0,0.0,0,0,0.0,1704.0,0.0,1704.0,0.0,1173.70892,0.0,0,0,0,0,0,1,0,0,0,601,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
765,80,23,1,1,0,0.0,0,0,0.0,0,0,0.0,23.0,0.0,23.0,0.0,43478.26087,43478.26087,0,0,0,0,0,1,1,0,1,905,229,0,32,0.0,0.0,0.0,0.0,0.0,1
130,59258,3,2,0,14,0.0,14,0,7.0,0,0,0.0,3.0,0.0,3.0,0.0,666666.6667,0.0,0,0,1,0,0,1,0,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0
658,50641,162,2,2,94,158.0,47,47,47.0,79,79,79.0,54.0,87.46999486,3.0,0.0,12345.67901,12345.67901,47,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
414,61590,546,1,1,43,124.0,43,43,43.0,124,124,124.0,546.0,0.0,546.0,0.0,1831.501832,1831.501832,43,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
935,56510,41,2,0,14,0.0,14,0,7.0,0,0,0.0,41.0,0.0,41.0,0.0,48780.4878,0.0,0,0,1,0,0,1,0,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0
38,47034,54,1,1,0,0.0,0,0,0.0,0,0,0.0,54.0,0.0,54.0,0.0,18518.51852,18518.51852,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
166,57481,144,2,2,72,104.0,36,36,36.0,52,52,52.0,48.0,77.07788269,3.0,0.0,13888.88889,13888.88889,36,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
721,48490,128,1,1,0,0.0,0,0,0.0,0,0,0.0,128.0,0.0,128.0,0.0,7812.5,7812.5,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
905,59094,8570086,9,15,102,188.0,22,0,11.33333333,34,0,12.53333333,372612.4348,966141.8073,3.0,1350736.924,1.050164491,1.750274151,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
210,57416,257,2,1,14,0.0,14,0,7.0,0,0,0.0,128.5,14.8492424,118.0,0.0,7782.101167,3891.050584,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
503,62386,48233,1,1,34,66.0,34,34,34.0,66,66,66.0,48233.0,0.0,48233.0,0.0,20.73269338,20.73269338,34,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
788,60428,30593,1,1,55,117.0,55,55,55.0,117,117,117.0,30593.0,0.0,30593.0,0.0,32.68721603,32.68721603,55,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
629,52292,8267508,9,15,110,188.0,29,0,12.22222222,34,0,12.53333333,359456.8696,932807.6801,3.0,1304478.053,1.088598886,1.814331477,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
343,58178,8204029,9,15,113,188.0,25,0,12.55555556,34,0,12.53333333,356696.913,931679.868,3.0,1248079.456,1.097021963,1.828369939,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
410,50436,10309378,21,32,2008,2745.0,640,0,95.61904762,976,0,85.78125,198257.2692,534792.8107,18.0,784154.1163,2.036980311,3.103969997,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
447,62704,439891,7,8,571,3508.0,373,0,81.57142857,1448,0,438.5,31420.78571,61813.76247,1.0,75205.69151,15.913033,18.18632343,0,0,0,0,1,0,0,0,1,65535,243,4,32,0.0,0.0,0.0,0.0,0.0,1
35,49506,191979,11,8,1012,4607.0,517,0,92.0,1418,0,575.875,10665.5,19545.1283,1.0,23479.07198,57.29793363,41.67122446,0,0,0,0,1,0,0,0,0,65535,357,5,32,0.0,0.0,0.0,0.0,0.0,1
767,55014,8620739,9,15,112,188.0,34,0,12.44444444,34,0,12.53333333,374814.7391,972819.3721,3.0,1336928.134,1.043994024,1.73999004,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
843,57710,9352709,9,15,100,188.0,23,0,11.11111111,34,0,12.53333333,406639.5217,1027509.734,3.0,1450193.215,0.962288039,1.603813398,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
470,80,83,1,1,0,0.0,0,0,0.0,0,0,0.0,83.0,0.0,83.0,0.0,12048.19277,12048.19277,0,0,0,0,0,1,1,0,1,114,229,0,32,0.0,0.0,0.0,0.0,0.0,1
63,55476,9019038,9,15,103,188.0,25,0,11.44444444,34,0,12.53333333,392132.087,1019054.278,3.0,1377236.079,0.997889132,1.663148553,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
342,61645,49754,1,1,52,116.0,52,52,52.0,116,116,116.0,49754.0,0.0,49754.0,0.0,20.09888652,20.09888652,52,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
713,59264,9019147,9,15,116,188.0,32,0,12.88888889,34,0,12.53333333,392136.8261,1022085.628,3.0,1306671.754,0.997877072,1.663128453,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
527,51390,71,1,1,0,0.0,0,0,0.0,0,0,0.0,71.0,0.0,71.0,0.0,14084.50704,14084.50704,0,0,0,0,0,1,1,0,1,259,257,0,32,0.0,0.0,0.0,0.0,0.0,0
771,60305,67241,1,1,47,139.0,47,47,47.0,139,139,139.0,67241.0,0.0,67241.0,0.0,14.87187876,14.87187876,47,0,0,0,0,0,0,0,1,-1,-1,0,44,0.0,0.0,0.0,0.0,0.0,1
289,59138,228,2,1,14,0.0,14,0,7.0,0,0,0.0,114.0,43.84062043,83.0,0.0,8771.929825,4385.964912,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
324,54285,115374349,47,53,14693,43213.0,1725,0,312.6170213,2896,0,815.3396226,1165397.465,3151643.424,4.0,4277427.892,0.407369579,0.459374206,0,0,0,0,1,0,0,0,1,29200,2006,15,32,466659.6364,1470367.374,4899984.0,23048.0,15885.75414,1
648,56690,48584,2,2,88,200.0,44,44,44.0,100,100,100.0,16194.66667,28044.78933,3.0,0.0,41.16581591,41.16581591,44,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
124,27325,171,2,2,46,46.0,23,23,23.0,23,23,23.0,57.0,96.99484522,1.0,0.0,11695.90643,11695.90643,23,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
953,58494,8814702,9,15,104,188.0,23,0,11.55555556,34,0,12.53333333,383247.913,996311.9478,3.0,1369208.71,1.021021471,1.701702451,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
773,62207,218,2,2,82,338.0,41,41,41.0,169,169,169.0,72.66666667,84.73684755,3.0,0.0,9174.311927,9174.311927,41,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
398,50462,54,1,1,0,0.0,0,0,0.0,0,0,0.0,54.0,0.0,54.0,0.0,18518.51852,18518.51852,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
100,61620,93099,1,1,56,72.0,56,56,56.0,72,72,72.0,93099.0,0.0,93099.0,0.0,10.74125393,10.74125393,56,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
832,53921,4,2,0,53,0.0,53,0,26.5,0,0,0.0,4.0,0.0,4.0,0.0,500000.0,0.0,0,0,1,0,0,1,0,0,0,317,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
524,56969,2334,2,0,0,0.0,0,0,0.0,0,0,0.0,2334.0,0.0,2334.0,0.0,856.8980291,0.0,0,0,0,0,0,1,0,0,0,16425,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
113,58146,166750,2,2,70,256.0,35,35,35.0,128,128,128.0,55583.33333,96267.09521,3.0,0.0,11.994003,11.994003,35,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
283,80,18,1,1,0,0.0,0,0,0.0,0,0,0.0,18.0,0.0,18.0,0.0,55555.55556,55555.55556,0,0,0,0,0,1,1,0,1,286,256,0,20,0.0,0.0,0.0,0.0,0.0,1
660,80,2409,2,1,0,0.0,0,0,0.0,0,0,0.0,1204.5,1586.04051,83.0,0.0,830.2200083,415.1100042,0,0,0,0,0,1,0,0,0,8688,33304,0,32,0.0,0.0,0.0,0.0,0.0,1
961,80,68,1,1,0,0.0,0,0,0.0,0,0,0.0,68.0,0.0,68.0,0.0,14705.88235,14705.88235,0,0,0,0,0,1,1,0,1,1013,256,0,20,0.0,0.0,0.0,0.0,0.0,1
601,62272,279,2,2,72,454.0,36,36,36.0,227,227,227.0,93.0,159.3486743,1.0,0.0,7168.458781,7168.458781,36,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
241,49970,74448,2,2,72,334.0,36,36,36.0,167,167,167.0,24816.0,42978.24274,1.0,0.0,26.86438857,26.86438857,36,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
197,52132,49,1,1,14,0.0,14,14,14.0,0,0,0.0,49.0,0.0,49.0,0.0,20408.16327,20408.16327,0,0,1,0,0,1,0,0,1,227,227,0,32,0.0,0.0,0.0,0.0,0.0,0
597,58880,48535,2,2,90,198.0,45,45,45.0,99,99,99.0,16178.33333,28005.24159,3.0,0.0,41.20737612,41.20737612,45,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
36,51536,21,2,0,0,0.0,0,0,0.0,0,0,0.0,21.0,0.0,21.0,0.0,95238.09524,0.0,0,0,0,0,0,1,0,0,0,16613,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
409,54793,5344304,8,6,366,3710.0,209,0,45.75,1460,0,618.3333333,411100.3077,1428141.223,3.0,1940621.755,1.496920834,1.122690625,0,0,0,0,1,0,0,0,0,8192,119,3,20,180423.0,0.0,180423.0,180423.0,0.0,1
628,58332,8964007,9,15,99,188.0,21,0,11.0,34,0,12.53333333,389739.4348,1002656.583,1.0,1247044.16,1.00401528,1.6733588,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
373,443,19,1,1,0,0.0,0,0,0.0,0,0,0.0,19.0,0.0,19.0,0.0,52631.57895,52631.57895,0,0,0,0,0,1,1,0,1,513,253,0,20,0.0,0.0,0.0,0.0,0.0,1
473,54552,219,2,1,14,0.0,14,0,7.0,0,0,0.0,109.5,36.06244584,84.0,0.0,9132.420091,4566.210046,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
474,51368,13582804,22,32,2008,2745.0,640,0,91.27272727,976,0,85.78125,256279.3208,700009.9808,1.0,987914.0746,1.61969502,2.355920029,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
259,60412,84113,1,1,45,149.0,45,45,45.0,149,149,149.0,84113.0,0.0,84113.0,0.0,11.88876868,11.88876868,45,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
446,2451,124,2,0,0,0.0,0,0,0.0,0,0,0.0,124.0,0.0,124.0,0.0,16129.03226,0.0,0,0,0,0,0,1,0,0,0,251,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
673,51992,11937670,21,32,2008,2745.0,640,0,95.61904762,976,0,85.78125,229570.5769,629109.0099,3.0,936853.796,1.759137252,2.680590098,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
9,60918,30848,1,1,66,122.0,66,66,66.0,122,122,122.0,30848.0,0.0,30848.0,0.0,32.41701245,32.41701245,66,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
368,53111,119257362,90,105,3172,173122.0,243,0,35.24444444,4380,0,1648.780952,614728.6701,5925008.058,1.0,8718419.109,0.754670391,0.880448789,0,0,0,0,1,0,0,0,1,8192,262,31,20,1030598.5,1219898.498,1893197.0,168000.0,489300.922,1
920,443,75,1,1,0,0.0,0,0,0.0,0,0,0.0,75.0,0.0,75.0,0.0,13333.33333,13333.33333,0,0,0,0,0,1,0,0,1,122,33304,0,32,0.0,0.0,0.0,0.0,0.0,1
840,58376,47185,2,2,76,274.0,38,38,38.0,137,137,137.0,15728.33333,27237.0763,3.0,0.0,42.38635159,42.38635159,38,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
411,52186,237,2,1,14,0.0,14,0,7.0,0,0,0.0,118.5,50.20458146,83.0,0.0,8438.818565,4219.409283,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
632,60794,23376,1,1,43,59.0,43,43,43.0,59,59,59.0,23376.0,0.0,23376.0,0.0,42.77891855,42.77891855,43,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
968,53694,9770189,9,15,108,188.0,23,0,12.0,34,0,12.53333333,424790.8261,1100296.728,3.0,1508696.024,0.921169488,1.53528248,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
413,135,81,1,2,0,0.0,0,0,0.0,0,0,0.0,40.5,12.02081528,32.0,0.0,12345.67901,24691.35802,0,0,0,0,0,1,1,0,2,2052,255,0,20,0.0,0.0,0.0,0.0,0.0,1
621,57698,6101336,8,5,390,5472.0,233,0,48.75,2294,0,1094.4,508444.6667,1630346.139,48.0,2122764.202,1.311188238,0.819492649,0,0,0,0,1,0,0,0,0,8192,237,3,20,418361.0,0.0,418361.0,418361.0,0.0,1
605,60819,240,2,2,68,422.0,34,34,34.0,211,211,211.0,80.0,96.0832972,4.0,0.0,8333.333333,8333.333333,34,0,0,0,0,0,0,0,1,-1,-1,1,20,0.0,0.0,0.0,0.0,0.0,1
272,58184,4,2,0,14,0.0,14,0,7.0,0,0,0.0,4.0,0.0,4.0,0.0,500000.0,0.0,0,0,1,0,0,1,0,0,0,229,-1,0,32,0.0,0.0,0.0,0.0,0.0,0
679,443,7415,3,0,0,0.0,0,0,0.0,0,0,0.0,3707.5,5238.954142,3.0,5238.954142,404.5853001,0.0,0,0,0,0,0,1,0,0,0,357,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
72,62291,184,2,2,90,222.0,45,45,45.0,111,111,111.0,61.33333333,101.0362971,3.0,0.0,10869.56522,10869.56522,45,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
742,35693,51383,1,1,0,0.0,0,0,0.0,0,0,0.0,51383.0,0.0,51383.0,0.0,19.46168966,19.46168966,0,0,0,0,0,1,0,0,1,320,237,0,32,0.0,0.0,0.0,0.0,0.0,1
977,59168,221,2,1,14,0.0,14,0,7.0,0,0,0.0,110.5,41.71930009,81.0,0.0,9049.773756,4524.886878,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
682,61920,61412,1,1,55,183.0,55,55,55.0,183,183,183.0,61412.0,0.0,61412.0,0.0,16.28346252,16.28346252,55,0,0,0,0,0,0,0,1,-1,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
641,50190,63,1,1,0,0.0,0,0,0.0,0,0,0.0,63.0,0.0,63.0,0.0,15873.01587,15873.01587,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
554,50626,76,1,1,0,0.0,0,0,0.0,0,0,0.0,76.0,0.0,76.0,0.0,13157.89474,13157.89474,0,0,0,0,0,1,1,0,1,259,247,0,32,0.0,0.0,0.0,0.0,0.0,0
434,48186,13439071,21,32,2008,2745.0,640,0,95.61904762,976,0,85.78125,258443.6731,697308.5468,3.0,997202.1614,1.562608011,2.381116969,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
757,53834,59835749,13,13,648,4809.0,321,0,49.84615385,1460,0,369.9230769,2393429.96,4301943.737,45.0,5150689.624,0.217261423,0.217261423,0,0,0,0,1,0,0,0,1,8192,31088,8,20,87424.0,82061.03875,234219.0,50575.0,12832.02364,1
202,53992,9089052,9,15,111,188.0,24,0,12.33333333,34,0,12.53333333,395176.1739,1025410.996,1.0,1433552.277,0.990202279,1.650337131,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
659,65315,49003,2,2,68,144.0,34,34,34.0,72,72,72.0,16334.33333,28288.43116,1.0,0.0,40.81382772,40.81382772,34,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
228,58322,9219725,9,15,105,188.0,23,0,11.66666667,34,0,12.53333333,400857.6087,1022061.972,3.0,1362719.502,0.976167944,1.626946574,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
58,62192,744354,1,1,40,132.0,40,40,40.0,132,132,132.0,744354.0,0.0,744354.0,0.0,1.343446801,1.343446801,40,0,0,0,0,0,0,0,1,-1,-1,0,32,0.0,0.0,0.0,0.0,0.0,1
96,59660,237,2,1,14,0.0,14,0,7.0,0,0,0.0,118.5,43.13351365,88.0,0.0,8438.818565,4219.409283,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
922,50556,200290,8,9,1124,5151.0,533,0,140.5,1460,0,572.3333333,12518.125,17796.9697,1.0,26921.12469,39.94208398,44.93484448,0,0,0,0,1,0,0,0,1,8192,40222,4,20,0.0,0.0,0.0,0.0,0.0,1
575,10304,67003,2,2,68,150.0,34,34,34.0,75,75,75.0,22334.33333,38680.736,1.0,0.0,29.84940973,29.84940973,34,0,0,0,0,0,0,0,1,-1,-1,1,32,0.0,0.0,0.0,0.0,0.0,1
631,49216,10580517,21,32,2008,2745.0,640,0,95.61904762,976,0,85.78125,203471.4808,544286.672,20.0,779524.2699,1.984780139,3.024426878,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
815,54338,9853044,9,15,107,188.0,24,0,11.88888889,34,0,12.53333333,428393.2174,1112766.954,2.0,1529224.078,0.913423303,1.522372172,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
853,50562,10851469,21,31,2008,2745.0,640,0,95.61904762,976,0,88.5483871,212773.902,571926.4143,3.0,766140.172,1.935221858,2.856756076,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
234,46378,13488623,28,36,2040,5289.0,640,0,72.85714286,976,0,146.9166667,214105.127,579798.0367,0.0,837482.5152,2.075823455,2.668915871,0,0,0,0,1,0,0,0,1,29200,247,18,32,0.0,0.0,0.0,0.0,0.0,0
497,53342,8958613,9,15,107,188.0,28,0,11.88888889,34,0,12.53333333,389504.913,1012119.344,2.0,1339551.048,1.0046198,1.674366333,0,0,0,0,1,0,0,0,1,29200,227,6,32,0.0,0.0,0.0,0.0,0.0,0
823,59593,170,2,0,0,0.0,0,0,0.0,0,0,0.0,170.0,0.0,170.0,0.0,11764.70588,0.0,0,0,0,0,0,1,0,0,0,250,-1,0,20,0.0,0.0,0.0,0.0,0.0,1
553,56250,231,2,1,14,0.0,14,0,7.0,0,0,0.0,115.5,62.93250353,71.0,0.0,8658.008658,4329.004329,0,0,1,0,0,1,0,0,0,229,0,0,32,0.0,0.0,0.0,0.0,0.0,0
66,61419,113967063,2,2,100,231.0,56,44,50.0,117,114,115.5,38000000.0,65800000.0,23380.0,0.0,0.01754893,0.01754893,44,0,0,0,0,0,0,0,1,-1,-1,1,20,23382.0,0.0,23382.0,23382.0,0.0,1
662,443,47,2,1,0,0.0,0,0,0.0,0,0,0.0,23.5,26.1629509,5.0,0.0,42553.19149,21276.59574,0,0,0,0,0,1,0,0,0,118,256,0,20,0.0,0.0,0.0,0.0,0.0,1
341,51196,12004496,22,32,2008,2745.0,640,0,91.27272727,976,0,85.78125,226499.9245,622435.9268,3.0,869561.4742,1.832646702,2.66566793,0,0,0,0,1,0,0,0,1,29200,247,16,32,0.0,0.0,0.0,0.0,0.0,0
